福島県,100.0 ,105.9 ,115.8 ,123.5 ,126.0 ,125.5 ,123.1 
福島市,100.0 ,111.6 ,125.8 ,135.0 ,137.8 ,138.3 ,138.8 
会津若松市,100.0 ,104.7 ,112.3 ,117.5 ,118.4 ,117.7 ,114.7 
郡山市,100.0 ,111.8 ,129.1 ,142.0 ,149.7 ,154.1 ,157.1 
いわき市,100.0 ,108.1 ,119.0 ,126.2 ,126.8 ,125.3 ,122.9 
白河市,100.0 ,106.8 ,118.2 ,128.7 ,134.8 ,136.0 ,134.4 
須賀川市,100.0 ,107.2 ,121.4 ,135.2 ,142.4 ,145.9 ,145.9 
喜多方市,100.0 ,99.5 ,102.3 ,104.1 ,103.4 ,101.0 ,96.5 
相馬市,100.0 ,102.9 ,112.9 ,118.7 ,119.6 ,117.6 ,114.8 
二本松市,100.0 ,101.8 ,108.6 ,116.2 ,118.3 ,116.1 ,110.5 
田村市,100.0 ,101.5 ,103.4 ,107.9 ,110.2 ,109.0 ,104.9 
南相馬市,100.0 ,104.9 ,115.2 ,122.2 ,122.2 ,118.0 ,112.9 
伊達市,100.0 ,105.4 ,113.5 ,119.2 ,118.2 ,115.1 ,111.1 
本宮市,100.0 ,105.4 ,115.4 ,125.0 ,131.4 ,134.6 ,134.3 
桑折町,100.0 ,106.6 ,115.3 ,119.0 ,117.0 ,113.3 ,108.4 
国見町,100.0 ,106.3 ,116.7 ,123.6 ,120.7 ,114.4 ,105.8 
川俣町,100.0 ,102.1 ,108.4 ,112.9 ,111.5 ,106.9 ,100.6 
大玉村,100.0 ,99.1 ,107.8 ,120.2 ,126.6 ,128.5 ,125.0 
鏡石町,100.0 ,109.6 ,124.8 ,137.3 ,141.7 ,141.0 ,136.5 
天栄村,100.0 ,95.9 ,100.2 ,109.3 ,114.6 ,112.3 ,101.6 
下郷町,100.0 ,96.6 ,94.6 ,93.6 ,91.3 ,85.4 ,78.8 
檜枝岐村,100.0 ,107.1 ,105.4 ,105.1 ,104.7 ,100.8 ,104.7 
只見町,100.0 ,100.8 ,101.6 ,98.9 ,92.9 ,87.1 ,81.7 
南会津町,100.0 ,101.0 ,100.6 ,100.1 ,97.8 ,94.3 ,89.7 
北塩原村,100.0 ,97.7 ,103.5 ,113.8 ,113.9 ,114.8 ,109.7 
西会津町,100.0 ,92.9 ,88.3 ,85.1 ,80.3 ,75.6 ,67.6 
磐梯町,100.0 ,100.2 ,106.2 ,113.2 ,114.4 ,112.9 ,107.7 
猪苗代町,100.0 ,99.1 ,102.1 ,105.1 ,103.6 ,99.5 ,92.2 
会津坂下町,100.0 ,96.4 ,97.5 ,100.8 ,99.6 ,96.3 ,89.7 
湯川村,100.0 ,98.5 ,103.0 ,109.9 ,110.4 ,106.5 ,102.4 
柳津町,100.0 ,95.4 ,94.1 ,91.6 ,85.8 ,80.0 ,72.8 
三島町,100.0 ,94.6 ,92.6 ,87.5 ,79.7 ,71.5 ,63.3 
金山町,100.0 ,97.3 ,92.0 ,86.4 ,78.5 ,70.3 ,62.8 
昭和村,100.0 ,92.8 ,84.6 ,77.3 ,69.2 ,58.6 ,50.6 
会津美里町,100.0 ,97.1 ,98.1 ,101.0 ,101.3 ,97.5 ,91.1 
西郷村,100.0 ,109.4 ,127.6 ,149.7 ,166.9 ,175.1 ,179.6 
泉崎村,100.0 ,101.9 ,111.6 ,127.0 ,137.2 ,139.7 ,132.7 
中島村,100.0 ,100.9 ,108.1 ,121.8 ,130.9 ,133.9 ,131.8 
矢吹町,100.0 ,109.9 ,125.5 ,135.4 ,140.1 ,138.4 ,133.4 
棚倉町,100.0 ,99.7 ,104.3 ,109.7 ,112.4 ,111.2 ,107.2 
矢祭町,100.0 ,98.5 ,101.7 ,106.0 ,108.7 ,107.0 ,100.9 
塙町,100.0 ,100.0 ,101.1 ,105.4 ,106.2 ,104.1 ,99.9 
鮫川村,100.0 ,95.3 ,94.7 ,101.2 ,103.3 ,102.3 ,95.3 
石川町,100.0 ,102.8 ,110.3 ,116.4 ,118.5 ,115.9 ,109.7 
玉川村,100.0 ,101.2 ,110.4 ,124.0 ,129.7 ,130.2 ,125.8 
平田村,100.0 ,99.2 ,102.2 ,110.5 ,115.9 ,116.7 ,110.8 
浅川町,100.0 ,102.1 ,109.7 ,117.7 ,120.5 ,119.0 ,113.2 
古殿町,100.0 ,94.6 ,91.9 ,95.2 ,96.5 ,94.5 ,89.2 
三春町,100.0 ,102.1 ,111.6 ,119.7 ,124.3 ,123.5 ,118.5 
小野町,100.0 ,99.7 ,102.6 ,108.6 ,112.6 ,113.0 ,108.3 
広野町,100.0 ,103.3 ,113.7 ,125.4 ,130.8 ,130.4 ,125.7 
楢葉町,100.0 ,102.4 ,110.1 ,119.1 ,123.8 ,127.8 ,123.7 
富岡町,100.0 ,107.3 ,120.0 ,132.6 ,140.6 ,143.7 ,143.3 
川内村,100.0 ,96.1 ,96.6 ,101.0 ,100.3 ,95.3 ,89.0 
大熊町,100.0 ,108.9 ,124.6 ,140.5 ,150.7 ,153.9 ,154.6 
双葉町,100.0 ,100.1 ,105.5 ,113.0 ,114.7 ,110.9 ,104.9 
浪江町,100.0 ,100.7 ,108.0 ,115.2 ,119.0 ,116.3 ,109.3 
葛尾村,100.0 ,95.4 ,96.7 ,98.5 ,99.8 ,95.5 ,87.1 
新地町,100.0 ,101.9 ,111.7 ,117.9 ,120.8 ,115.9 ,108.7 
飯舘村,100.0 ,96.6 ,98.7 ,102.9 ,105.1 ,101.5 ,94.2 
